NEOSPORIN EYE DROPS|POLYMYXIN B SULPHATE, GRAMOCILLIN|WELLCOME FOUNDATION LTD. LONDON|04-1161
MALCO INJECTION|VITAMIN B COMPLEX|SHREECHEM PHARM PVT. LTD. R-915 TTC INDUSTRIAL AREA RABALE, NAVI MUMBAI, INDIA|04-4479
MALDOX  X 10ML|SULPHADOXINE 500MG/5ML, PYRIMETHAMINE 25MG/5ML|SAME AS APPLICANT|04-4345
MALDOX COMBI  X 1'S + 6 (BLUE RBM TABLETS)|SULPHADOXINE 500MG, PYRIMETHAMINE 25MG,PARACETAMOL 500MG|SAME AS APPLICANT|04-4343
MALDOX COMBI  X 2'S + 6 (WHITE RBM TABLETS)|SULPHADOXINE 500MG, PYRIMETHAMINE 25MG,PARACETAMOL 500MG|SAME AS APPLICANT|04-4342
MALDOX COMBI  X 3'S + 12'S|SULPHADOXINE 500MG, PYRIMETHAMINE 25MG,PARACETAMOL 500MG|SAME AS APPLICANT|04-4340
MALDOX COMBI  X 3'S + 6 (PINK RBM TABLETS)|SULPHADOXINE 500MG, PYRIMETHAMINE 25MG,PARACETAMOL 500MG|SAME AS APPLICANT|04-4341
MAMIN  X 10'S|AMINOPHYLLINE BP 250MG/10ML|HUAYAN ZHONGSHEN PHARMACEUTICALS CO LTD CHENGDE  HIHGTECH IND. DEVELOPMENT ZONE HEBEI CHINA|04-4328
MANAPRIM -480 X 1000'S|TRIMETHOPRIM 80MG, SULPHAMETHOXAZOLE 400MG|MAAN PHARMACEUTICALS LTD PLOT NO 1 GIDC PHASE II MODHERA ROAD MEHSANAN INDIA|04-4300
MANAPRIM -480 X 100'S, 10 X 10'S|SULPHMETHOXAZOLE 400MG +TRIMETHOPRIM  80MG|MAAN PHARMACEUTICALS LTD PLOT NO 1 GIDC PHASE II MODHERA ROAD MEHSANAN INDIA|
MANIX HERBAL 2 X 10'S|DIOSCOREA BULBIFERA 207MG,SESAMUM INDICUM 99MG, ASPARAGUS RACEMOSUS 42MG,E.T.C|WOCKHARDT LIMITED MUMBAI,INDIA|04-3610L
MARIANDINA 'A' X 90'S|VITS B1,B2,B6, B12,D,A,C,E,GINSENG POWDER,SOYABEAN OIL,INOSITOL,RUTIN,CU,ZN,MG,FOLACIN,LECITHIN,BIOTIN,IODINE|MARIANDINA NUTRITIONAL HEALTH PRODUCTS LTD. 1 ANDREWS PLACE,BEXLEY PARK,KENT DA2 7WD ENGLAND UK|04-4888L
MARIANDINA 'B'  VEGETABS X 30'S|VITS C,E, SIBERIAN, GINSENG POWDER 50MG,ALFALFIA LEAF POWDER,GOLDEN SEAL,ROOT POWDER,GARLIC POWDER, CO-Q-ENZYME,KOLA NUT POWDER,GINKO BILOBA LEAF POWDER ETC.|MARIANDINA NUTRITIONAL HEALTH PRODUCTS LTD. 1 ANDREWS PLACE,BEXLEY PARK,KENT DA2 7WD ENGLAND UK|04-4890L
MARIANDINA 'J' X 30'S|CALENDULA,DEVIL'S CLAW,BERBERIS VULGARIS,DANDELION,ILLIUM SATIVUM,SCHIZANDRIA,GINSENG ROOT POWDER,COLTS FOOT,LIQUOR RICE,ST. JOHN WORT COWSLIP,THIME,WAX MIXTURE,GULIUM,CALAMUS ROOT ETC|MARIANDINA NUTRITIONAL HEALTH PRODUCTS LTD. 1 ANDREWS PLACE,BEXLEY PARK,KENT DA2 7WD ENGLAND UK|04-4889L
MATHEW PARACETAMOL BP 60ML|PARACETAMOL B.P 125MG/5ML BP 5.04%, OINTMENT BASE TO 100 


VITAMIN B1 0.5MG VITAMIN B6 0.5MG
VITAMIN B2 0.5MG/5ML
D-PANTHENOL 0.5MG/5ML|DAILY NEED INDUSTRIES LTD 
PLOT 10, OSHODI SCHEME, INDUSTRIAL, LAYOUT ISOLO, LAGOS|04-1758
MATHEW WORM  X 30ML|PIPERAZINE CITRATE ELIXIR BPC 937.5MG/5ML|SAME AS APPLICANT|04-1638
MATHEWQUINE CHLOROQUINE X 60ML|CHLOROQUINE PHOSPHATE 50MG BASE|SAME AS APPLICANT|04-1676
MATRIX VITAMIN C  X100ML|ASCORBIC ACID 100MG|BENTOSPHARM.PRODUCTS LTD.KM 8, OLD LAGOS ROAD,IBADAN OYOSTATE|04-3593
ENGERIX - B 1ML (ADULT) 0.5ML (JUNIOR)|HEPATITIS B SURFACE ANTIGEN.|SMITHKLINE BEECHAM BIOLOGICALS RIXENSANT BELGIUM.|04-3835
MEBOK TABLETS|MEBENDAZOLE 100MG|MAXHEAL PHARMACEUTICALS (INDIA) 103 TULSIA NIWAS JOGSHIORAN MUMBAI|04-4003
ATROPINE  X 10ML|ATROPINE 10MG|ASHFORD LABORATORIES LTD;MACAU|04-3886
HOMATROPINE  X 10ML|HOMATROPINE HYDROCHLORIDE 20MG|ASHFORD LABORATORIES LTD;MACAU|04-3879
MAXISPORIN X 5ML|DEXAMETHASONE 1.0MG/ML|ASHFORD LABORATORIES LTD;AVENIDA DO ALMIRANTE LACCERDA, NO.131-133 EDIFICIO IND. WAY MACAU|04-3533
OPTODEXIN  X 5ML|CHLORAMPHENICOL 5MG,DEXAMETHASONE SODIUM  PHOSPHATE 1MG, TETRAHYDROZOLINE 0.25MG|ASHFORD LABORATORIES AVENIDA DO ALMIRANTE LACERDA 12,ANDAR MACAU|04-4780
EVIROSE 100  X 2 X10'S|VITAMINE E 100MG|XL LABORATORIES PVT LTD. E 1223 PHASE I, EXTN(GHANA) RIICO IND. AREA BHIWADI-INDIA|04-4085
EVITOL  X 30'S|VITAMIN E(TOCOPHEROL ACETATE)|TEVA PHARM IND. LTD 5,BASEL STREET,PETACH TIKVA,ISRAEL|04-1181
EXADON X 50 X 3'S|PARACETAMOL 500MG, CAFFEINE 30MG|P.T.TEMPO SCAN PACIFIC GEDUNG BINA MULIA JIHR RASUNA SAID KAV 11 JARKATA, INDONESIA|04-4424
EXCELLECIA 4 X 10 VIALS|PROCAINE PENICILLIN 3MU + BENZYL PENICILLIN SODIUM 1MU|AMBARALA SARABHAI ENT. LTD., VIRKRAM SARABHAI MARG. VADODARA-23, INDIA.|04-3616
EXIPLON COUGH  FOR CHILDREN X 100ML|DIPHENHYDRAMINE HCL 7MG, SOD.CITRATE 28.5MG|SAME AS APPLICANT|04-4253
EXIPLON EXPECTORANT  X100ML|DIPHENHYDRAMINE-14MG/5ML, AMMONIUM CHLORIDE 135MG/5ML, SODIUM CITRATE 57MG/5ML, MENTHOL 1.1MG/5ML|SAME AS APPLICANT|04-4252
EXOL 5|BENZHEXOL HYDROCHLORIDE 5MG|XL LABORATORIES PVT E-1223 PHASE-1,EXTN (GHATAI) RIICO IND.AREA BHIWADI-301019 RAJASTHAN INDIA|04-4783
EYVITINA X 24'S|VITAMIN E 100MG|PHARCO PHARMACEUTICALS 496 EL-HORREY AVE,BOLKLY,ALEXANDRIA EGYPT|04-4635
FAITH CHLOROQUINE  X 60ML|CHLOROQUINE PHOSOHATE 80MG/5ML|SAME AS APPLICANT|04-3939
FAITH MULTIVITAMIN  X 100ML|VIT A 1000IU, VIT D 200IU, VIT C 40MG, VIT B2  2MG, VIT B1  2MG,  VIT B6  2MG,  NICOTINAMIDE  10MG/5ML|SAME AS APPLICANT|04-4706
FALCIPAR X 3'S|SULFADOXINE 500MG, PYRIMETHAMINE 25MG|SYNMEDIC LABORATORIES;166 DLF INDUSTRIAL AREA, PHASE 1 FARIDABAD-121003, INDIA.|04-3556
FAMOTAB 40  X 20'S|FAMOTIDINE 40MG|HOVID SDN BHD,30010 IPOH, MALAYSIA|04-4390
FAPCHLOR  X 60ML|CHLOROQUINE PHOSPHATE 80MG/5ML|SAME AS APPLICANT|04-1149
FAPCLOX  X 100ML|AMPICILLIN 125MG + CLOXACILLIN 125MG/5ML|FOOD & PHARMA NIGERIA LIMITED, 6 IJORA LAGOS.|04-0385
FAPICILLIN X 100ML|AMPICILLIN TRIHYDRATE 125MG/5ML|FOOD & PHARMA LTD 6, IJORA CAUSEWAY IJORA, LAGOS|04-0413
FAPOGYL PAEDIATRIC X 60ML|METRONIDAZOLE 200MG/5ML|FOOD AND PHARMACEUTICALS MANF. COMPANY, 6,IJORA CAUSEWAY IJORA, LAGOS.|04-0454
FAPTRIMOX  X50ML|TRIMETHOPRIM 40MG, SULPHAMETHOXAZOLE 200MG|FOOD AND PHARMA NIG. LTD  6 IJORA CAUSEWAY IJORA, LAGOS|04-0455
FATINA VITAMIN C X100ML|ASCORBIC ACID 100MG,/5ML|FATINA PHARMACY LTD.PLOT 3, EGBEOLUWA ROAD, OSISIOMA IND. LAYOUT, ABA, ABIA STATE|04-3653
FECLOX  X 200'S|AMPICILLIN 250MG, CLOXACILLIN 250MG|SAME AS APPLICANT|04-4600
FECLOX DRYX100ML|AMPICILLIN125MG +CLOXACILLIN125MG|FIDSON HEALTHCARE LTD. LYSON CHEMICAL AVENUE, KM 38, LAGOS-ABEOKUTA EXP WAY OGUN STATE|04-3658
FELGIN-20 X 100'S|PIROXICAM 20MG|SHANGHAI MEDICINAL CORPORATION, NO 9 YANAN RD. SHANGHAI, CHINA|04-3906
FERBELAN FORTE  X 30'S|VIT B1 - 2MG, VIT B2 - 2MG, VIT B12 - 5MCG, FE2+  30MG, FOLIC ACID  2MG,  MN2+, CU2+  1.5MG, ZN2+ 12MG|GUJARAT LIQUID PHARMACAPS PVT LTD PLOT NO 662-66 GIDC WAGHODIA PVT LTD. INDIA|04-4307
FERILEX  BLOOD  X 100ML & 200ML|FERRIC AMMONIUM CITRATE 200MG/5ML|SAME AS APPLICANT|04-0824
FERILEX JUNIOR BLOOD  X 100ML|FERRIC AMMONIUM CITRATE 30MG, FOLIC ACID 200MCG, VIT B12- 5MCG/5ML|SAME AS APPLICANT|04-4048
FERILEX JUNIOR BLOOD  X 200ML|FERRIC AMMONIUM CITRATE 30MG, FOLIC ACID 200MCG, VIT B12- 5MCG/5ML|SAME AS APPLICANT|
DANA DARROW?S SOLUTION
HALF STRENGTH|SODIUM LACTATE 1.475G, SODIUM CHLORIDE 1G, POTASSIUM CHLORIDE 0.65G/ 500ML|ASHMINA LTD. DANA HOUSE 8A OLUBADAN IND. ESTATE, OFF NEW IFE RD, IBADAN OYO STATE .|04-0382
FERMATOL PARACETAMOL  X 2L|PARACETAMOL 125MG/5ML|SAME AS APPLICANT|04-4505
FERMATOL PARACETAMOL X 1000'S|PARACETAMOL 500MG|SAME AS APPLICANT|04-4507
FERONIC BLOOD  X 200ML|FERRIC AMMONIUM CITRATE 200MG,VITAMIN B12 5MCG, FOLIC ACID BP 0.05MG/5ML|SAME AS APPLICANT|04-4503
FEROPHATE  X 1000'S|FERROUS SULPHATE 200MG|BIO NOVA PHARMACEUTICALS PVT C 66/1 OKHLA IND AREA, NEW DELHI INDIA|04-4387
FEROVITA X 30'S|FERROUS FUMARATE 300MG|STRIDES ARCOLAB LTD., 238/2 SARAKKI, BANGALORE-560078, INDIA.|04-0609
FESOPLEX BLOOD  X 200ML|FERRIC AMMONIUM CITRATE 80MG, FOLIC ACID 500MCG, VIT B12 5MCG, VIT B1 2MG|SAME AS APPLICANT|04-4586
FEVAGYL  X 60ML|METRONIDAZOLE 200MG/5ML|DAVID LABORATORIES LIMITED, C4/75/76 IND. LAYOUT OWERRI ONITSHA ROAD, OWERRI|04-3748
FEVAQUINE X 60ML|CHLOROQUINE PHOSPHATE 80MG/5ML|DAVID LABORATORIES LIMITED, C4/75/76 IND. LAYOUT OWERRI ONITSHA ROAD, OWERRI.|04-3747
FIT-UP X50'S|TAURINE 1000MG,SODIUM BICARBONAATE,INOSITOL 50MG,NICOTINAMIDE 22MG, VIT B1 5MG, VIT B2 5MG, VIT B6 5MG, CAFFEINE 30MG,CITRIC ACID,ASPARTANE,SODIUM SACCHARIN,FLAVOUR|KONIMEX PHARM LTD DESA SANGGRAHAN KECGROGOLKAB SUKOHARJO CENTRAL JAVA,INDONESIA|04-4463
FIVAREX 60ML|CHLOROQUINE PHOSPHATE  X  80MG/5ML|BENTOS PHARM PRODUCTS LTD, KM 8, OLD, LAGOS ROAD, IBADAN, OYO STATE|04-3578
FIVAREX X1000'S|CHLOROQUINE PHOSOHATE 250MG|SAME AS APPLICANT|04-4237
FLAMIPROC X 50'S|BENZYL PENICILLIN 1MEGA I.U, PROCAINE PENICILLIN 3MEGA I.U|FLAMINGO PHARMACEUTICALS LTD. R-662 TTC IND. AREA, RABALE NAVI MUMBAI 400071 INDIA|04-3869
FLEXINOL  X10'S|METHOCARBAMOL 400MG, PARACETAMOL 325MG|CIPLA LTD MUMBAI CENTRAL MUMBAI 40008, INDIA|04-4094
FLIXOTIDE ACCUHALER X1'S|FLUTICASONE PROPIONATE 100MCG|GLAXOWELLCOME PRODUCTION ENREUX FRANCE|04-2889
FLOVID 200  X 10'S|OFLOXACIN 200MG|HOVID SDN BHD.121 JALAM KUALA KANGSA 30010 IPOH MALAYSIA.|
FLOVID 200 X 100'S|OFLOXACIN 200MG|HOVID SDN BHD. 30010 IPOH, MALAYSIA.|04-3619
FLOXWIN 200|OFLOXACIN 200MG|XL LABORATORIES PVT E-1223 PHASE-1, EXTN (GHATAI) RIICO IND.AREA BHIWADI-301019 RAJASTHAN, INDIA|04-4684
FLUCAMED  X 35ML|FLUCONAZOLE 10MG/ML|SAME AS APPLICANT|04-4910
FLUORESCEIN EYE STRIPS X 50S|FLUORESCEIN SODIUM 20%|ECWA CENTRAL PHARMACY LIMITED, 1, NOAD AVENUE, JOS.|04-3755
FOLIC ACID  X 1000'S|FOLIC ACID 5MG|SAME AS APPLICANT|04-1269
FORANE INHALATION GAS|ISOFLURANE 99.9%|ABBOT LABORATORIES LTD. QUEENSBOROUGH, KENT, ENGLAND|04-4934
FORIFIED BENZYL PROCAINE PENICILLIN INJ (10ML)|OXYTETRACYCLINE 
HCL 20G, D-CA-PATOTHENATE
750MG,NECOTINIC 
ACID 1.5MG,
METHIONINE3.5MG
LYSINE 5.5MG,
VIT K 150MG.|SKM PHARMA PVT LTD. BANGALORE, INDIA|04-4597
FORTOVASE  X 180'S|SAQUINAVIR 200MG|HOFFMAN -LA ROCHE INC. NUTLEY N.J. U.S.A|04-4393
FOUNTAIN B12 BLOOD  X 200ML|FERROUS GLUCONATE 200MG, FOLIC ACID 2MG, VIT B1 2MG, VIT B2 1.5MG, VIT B6 1.5MG, VIT B12  2.5MCG, NIACINAMIDE 10MG/5ML|SAME AS APPLICANT|04-4569
FRAQUIN X 1000'S,10'S|CHLOROQUINE PHOSPHATE 250MG|MEDREL PHARMACEUTICALS PVT LTD; 3325 GIDC SARIGAM DIST. VALSAD GUJARAT 396 155, INDIA|04-3762
FRAXYL  X 100ML|AMOXYCILLIN 125MG/ML|MEDREL PHARMACEUTICALS (INDIA) PVT LTD;144/146 VIII HARUPURA DIST. VADODARA GUJUARAT 391520, INDIA|04-3916
FRAXYL 250 X 100'S|AMOXYCILLIN 250MG|MEDREL PHARMACEUTICALS (INDIA) PVT LTD;54-B DRUG HOUSE, PROCTER ROAD MUMBAI-400 007, INDIA|04-3640
FRAXYL X100'S|AMOXYCILLIN 500GM.|MEDREL PHARMACEUTICALS PVT LTD; 54-B, DRUG HOUSE, PROCTER ROAD, MUMBIA-400007, INDIA.|04-3643
FUNGUSOL  X 20GM|MICONAZOLE NITRATE 2%W/W|SAME AS APPLICANT|04-1324
FURAPEC LIGHT KAOLIN  X 60ML|LIGHT KAOLIN 1000MG/5ML|SAME AS APPLICANT|04-4537
FUSIX X 2ML|FRUSEMIDE 20MG|SM PHARMS.SDN BHD PLOT 88 SUNGAI RETANI IND. ESTATE, KEDAH, MALAYSIA|04-3435
FUZIL X 10'S|FRUSEMIDE 2ML|SHANGHAI MEDICINAL CORPORATION 9,YANAN ROAD,(E), SHANGHAI, CHINA|04-4216
GANAMINOVIT ORAL (1000MG & 100MG)|MULTIVITAMINS|INVESA ESMERALDA 19,08950 ESPLUGUES DE LIOBREGAT BERCELONA SPAIN|04-4115
GANEVIT  X 10'S|MULTIVITAMINS & MINERALS|GUJARAT LIQUID PHARMACAPS PVT LTD PLOT NO 662-66 GIDC WAGHODIA VADODARA 391 760,GUJARAT  INDIA|04-4814
GAUZE ZIMATRIM PAED. X 50 ML|SULPHMETHOXAZOLE 200MG +TRIMETHOPRIM 40MG/5ML|GAUZE PHARM. & LAB. LTD,ENU-IFITE VILLAGE AKWA ANAMBRA STATE.|04-3825
GBACTIN  X 24'S|THIAMPHENICOL 500MG|GVS LABS, SWAMIGEHA DOMBIVILI(E) THANE 421 201 MAHARASTRA, INDIA|04-4493
GENDOX 10/5 (100G)|GENTAMYCIN SO4  100MG, DOXYCYCLINE HYCLATE  50MG|PANTEEX HOLLAND B.V. 5525 ZG DUIZEL,  (HOLLAND).|04-4351
GENPIC 80 X100'S (AMPS)|GENTAMYCIN 80MG/2ML|JINGLING PHARM (GROUP) CORP., ZINLING TIANFENG PHARM FACTORY, CHINA|04-3718
GENTA 280 X 2ML X 50'S AMPOULES|GENTAMICIN 280MG|STRIDES ARCOLAB LTD. OPP.11 BILEKALLI BANNERGHATTA ROAD, BANGALORE, INDIA|04-3786
GENTA 80 X 2ML X 50'S AMPOULES|GENTAMICIN 80MG|STRIDES ARCOLAB LTD. OPP.11 BILEKALLI BANNERGHATTA ROAD, BANGALORE INDIA|04-3788
GENTADERM  X 20G|GENTAMYCIN 0.1% W/W|SAME AS APPLICANT|04-4118
GENTAGLOB  X 10ML|GENTAMICIN 0.3%|SHREECHEM PHARMACEUTICALS PVT LTD PLOT NO R-915 TTC IND AREA RABALE NAVI MUMBAI, INDIA|04-4314
GENTALAB X 10ML|GENTAMICIN 0.3%|LABORATE PHARM (INDIA) E-11 INT'L AREA PANIPAT 132 103 HARYANA,INDIA|04-3764
GENTALAB X 10'S|GENTAMICIN SULPHATE 280MG/2ML|MEDREL PHARM PVT LTD 54B,DRUG HOUSE,PROCTER ROAD,MUMBAI, INDIA|04-4302
GENTAMICIN X 10ML|GENTAMICIN SULPHATE  0.3%|ECWA  CENTRAL PHARMACY LTD,1, NOAD AVENUE, JOS,PLATEAU STATE|04-3594
GENTAMYCIN X 2ML X 100'S|GENYAMYCIN 280MG/ML|EFFECHEM S.R.L.VIA SAN VITTO 1802 123 MILAN, ITALY|04-4459
GENTARYL-D (100G)|GENTAMYCIN SO4  100MG, DOXYCYCLINE HYCLATE  50MG, VITS A 3000IU,D3 - 1500IU,E- 2MG, B1- 2MG, B2-4MG|PANTEX HOLLAND B.V 5525 DUIZEL (HOLLAND)|04-4864
GENTAZET X 100'S|GENTAMYCIN SULPHATE 80MG/2ML|YANGZHOU 3 PHARM CO. LTD; NO 51 YUANTAI RD YILLING TOWN, JIANGDU CITY, JIANGSU, CHINA|04-3706
GEVICAM X 100'S|PIROXICAM 20MG|HUAYAN ZHONGHEN PHARMACEUTICAL LTD CHENGDE HIGHTECH INDUSTRY DEVELOPMENT ZONE,CHINA|04-4449
GILAD METHYLSALICYLATE  X 50G|METHYLSALICYLATE 20%W/W|SAME AS APPLICANT|04-4718
GINMACTON  X 30'S|GINKO BILOBA LEAF EXTRACT 80MG|KOREA PHARMA CO. LTD. 907-8,SANGSIN-RI,HYAGNAM-MYUN,HWASUNG-KUN,KYENGKI-DO,KOREA|04-4887L
GINSOVIT  X 30'S|MULTIVITAMINS & MINERALS|XL LABORATORIES PVT LTD. E 1223 PHASE I, EXTN(GHATAL) RIICO IND. AREA BHIWADI-INDIA|04-4794
GLIBEX 3.5 X 120'S|GLIBENCLAMIDE  3.5MG|M.J BIOPHARM PVT LTD. 113,JOLLY MAKER CHAMBER,MUMBAI INDIA|04-3767
GLIBEX 5 X 120'S|GLIBENCLAMIDE  5MG|M.J BIOPHARM PVT LTD. 113,JOLLY MAKER CHAMBER,MUMBAI INDIA|04-3768
GLO COD X 30'S|VITAMIN A 600IU,VITAMIN D 60IU|GUJARAT LIQUID PHARMACAPS PVT LTD PLOT NO 662-66 GIDC WAGHODIA VADODARA 391 760,GUJARAT PVT. INDIA|04-4782
GLUCOTABS  X 6'S|GLUCOSE 3.4G|SWISS PHARMA PVT LTD 3709 GIDC PHASE IV VATVA AHMEDABAD 382445,INDIA|04-3726
GLUTAZENE  X 24'S|L-GLUTAMINE 663.30MG, SODIUM AZULENESULFONATE 2.01MG|TABLETS (INDIA) LTD 179,T.H.,CHENNAI 600 081 INDIA|04-4432
GOODOXY 5%(100ML & 50ML)|OXYTETRACYCLINE HCL B.P 5%|SKM PHARMA PVT LTD WORKS AT;GOLLAPADU 522 408,AP ADMIN OFFICE,TF 10,CITY POINT INFANTRY RD. BANGALORE,56001  INDIA|04-4867
GOODSENSE ACETAMINOPHEN  X50'S|PARACETAMOL 500MG|L.PERRIGO COMPANY 117,WATER STREET, ALLERGAN, MI 49010 USA|04-4201
GOODSENSE ASPIRIN  X 120'S|ASPIRIN 81MG|PERRIGO 117 WATER STREET ALLEGAN MI 49010, USA|04-4331
GOODSENSE CENTURY MULTIVITAMIN  X 130'S|MULTIVITAMINS & MINERALS|PERRIGO ALLEGAN MI 49010, USA DIST|04-4174
GOODSENSE ENTERIC COATED ASPIRIN  X 100'S|ASPIRIN 325MG|PERRIGO 117 WATER STREET ALLEGAN MI 49010, USA|04-4330
GOODSENSE IBUBROFEN  X50'S|IBUPROFEN 200MG|PERRIGO 117 WATER STREET ALLEGAN MI 49010,USA|04-4080
GOZ METRONIDAZOLE  X 60ML|METRONIDAZOLE BENZOATE 200MG/5ML|SAME AS APPLICANT|04-3945
GOZFERON X 100ML|FERRIC AMMONIUM CITRATE 69MG/5ML|SAME AS APPLICANT|04-3944
GRISOVID 500  X20'S|GRISEOFULVIN 500MG|HOVID SDN BHD.121, JALAN KUALA KANOSAR, 30010 IPOH MALAYSIA.|04-0890
GRISOVIN  X100|GRISEOFULVIN 500MG|GLAXO  WELCOME  NIG.  LTD,41,  CRECK  ROAD,  APAPA  LAGOS|04-3819
GROVIT MULTIVITAMIN DROP  X 100ML|MULTIVITAMINS|USV LTD. B.S.D MARGGORANDI MUMBAI 400088, INDIA|04-0795
GSUNATE FORT X 6'S|ARTESUNATE 100MG|GVS LAB 2, SWAMIGEHA, DOMBIVLI (E) 421201, INDIA|04-3725
GUAZE B COMPLEX X 100ML|THIAMINE HCL(B1) 5MG,RIBOFLAVIN (VIT B2) 2MG,PYRIDOXIN HCL( B6) 2MG, NICOTINAMIDE 20MG|SAME AS APPLICANT|04-4051
GUAZE HYDROGEN PEROXIDE X 100ML|HYDROGEN PEROXIDE 6%W/V|SAME AS APPLICANT|04-4137
GUAZE ZIMAGIL METRONIDAZOLE PAEDIATRIC  X 60ML|METRONIDAZOLE 200MG/5ML|SAME AS APPLICANT|04-4050
GYNAECOSID X 2'S|METHYLOESTRENOLONE 5MG, METHYLOESTRADIOL 0.3MG|EFROZE CHEMICAL INDUSTIES PVT LTD., 146/23 KOANGI IND AREA KARACHI PAKISTAN|04-4162
HOSTAN 250 X 100'S|MEFENAMIC ACID 250MG|HOVID SDN. BHD. 121, JALAN KUALA KANGSAR, 30010 IPOH, MALAYSIA|04-3871
HYCID  20  X 10'S|OMEPRAZOLE 20MG|XL LABORATORIES PVT E-1223 PHASE-1,EXTN (GHATAI) RIICO IND.AREA BHIWADI-INDIA|04-4634
IBEX  X 24'S|IBUPROFEN 200MG, PARECETAMOL 325MG, CAFFEINE 30MG|MEDREICH STERILAB (P) LTD;12 MILE OLD, MADRAS ROAD VIRGONAGAR BANGALORE-560049 INDIA|04-3552
IBUDEX 400 X 50'S|IBUPROFEN 400MG|DEXCEL LTD SOUTHERN INDUSTRIAL ZONE OR-AKVIA,30600 ISRAEL|04-4186
IBUMAX  X 20'S|PARACETAMOL 325MG,IBUPROFEN 200MG, CAFFEINE 30MG|MAXHEAL PHARMACEUTICALS,95/96 MIDC SATPUR,NASHIK-422 007, INDIA|04-4372
IBUSEGIC M  X10|IBUPROFEN 400MG, METHOCARBAMOL 750MG|CIPLA LTD MUMBAI CENTRAL MUMBAI 40008, INDIA|04-4087
IKACLOMIN X 10'S|CLOMIPHENE CITRATE 50MG|TEVA PHARM INDUSTRIES LTD. 5,BASEL STREET,PETAH-TIKVA,ISRAEL|04-1358
IMF SANCOF|AZARDIRAHTA INDICA 0.08MG, EUCALYPTUS GLOBULES 0.02MG, DEGUADELIA RADICE 0.04MG E.T.C|SAME AS APPLICANT|NOT APPROVED
IMF SANICOF  200ML|AZARDIRAHTA INDICA 0.08MG, EUCALYPTUS GLOBULES 0.02MG, DEGUADELIA RADICE 0.04MG E.T.C|SAME AS APPLICANT|04-3560L
IMF VENADI  750ML|BIDENS TRIPARTILA 0.015MG,GENTIANA LUTEA 0.015MG E.T.C|SAME AS APPLICANT|04-3546L
INAMOX X 1000'S|AMOXICILLIN 500MG|PT INDOPHARMA, PLAZA BANK BUMI DAYA, JI, IMAM BONJOI NO. 61, JARKATA, INDONESIA|04-3572
INCIFLOX  X 50'S|CIPROFLOXACIN 500MG|PT INDOPHARMA, PLAZA BANK BUMI DAYA, JI, IMAM BONJOI NO. 61, JARKATA, INDONESIA|04-4110
INDIVAN 400|INDINAVIR 400MG|CIPLA LTD. LBS MARG VIKHROLI MUMBAI 400 083,INDIA|04-3902L
INDOHEAL  X 100'S|INDOMETHACINE 25MG|MAXHEAL PHARMACEUTICALS, (INDIA) 103, TULSI NIWAS, JOGESHWARI (W) INDIA|04-4077
INDOSULES X 10 X 10'S|INDOMETHACINE 25MG|MAXHEAL PHARMACEUTICALS 95/96 MIDC,SATPUR,NASHIK 422007, INDIA|04-4435
INTACAM X 10'S|PIROXICAM 20MG|INTERMED LTD. 4, G.K INDUSTRIAL ESTATE, ARCOT ROAD, PORUR, CHENNAI 600116,INDIA|04-3875
INTRAQUINE  X 100'S|CHLOROQUINE PHOSPHATE 40MG/ML|INTRAVENOUS INFUSION LIMITED PLOT 4/7 BLOCK 1 KOFORIDUA, GHANA|04-4377
IRON DEXTRAN  5ML X 100'S|IRON DEXTRAN 250MG/5ML|EFFECHEM S.R.L VIA SAN VITO,18 20123 MILAN ITALY|04-4207
IVAX  X 60ML'S|LIGHT KAOLIN 1.05G, NEOMYCIN SULPHATE 53.33MG, SULPHAGUANIDINE 0.7G|SAME AS APPLICANT|04-4829
IVYBETANEOSIN  X 10ML|BETHAMETHASONE AND NEOMYCIN 0.9841G/ML|IVEE AQUA EPS LTD LR NO.18474/83 ATHI RIVER 00100  NAIROBI KENYA.|04-4093
IVYDEXGENT  X 5ML|DEXAMETHASONE SODIUM PHOSPHATE 0.1%MG/ML|IVEE AQUA EPZ LTD LR NO.18474/83 ATHI RIVER NAIROBI KENYA.|04-4169
IVYDEXNEOCIN X 10ML|DEXAMETHASONE AND NEOMYCIN|IVEE AQUA EPS LTD LR NO.18474/83 ATHI RIVER NAIROBI KENYA.|04-3436
IVYDEXONE X 5ML|DEXAMETHASONE PHOSPHATE 0.1%W/V|IVEE AQUA EPZ LTD LR NO.18474/83 ATHI RIVER NAIROBI KENYA.|04-4167
IVYGENTACIN X 10ML|GENTAMYCIN 0.3W/V|IVEE AQUA EPS LTD LR NO.18474/83 ATHI RIVER 00100  NAIROBI KENYA.|04-4084
IVYPHENICOL X 10ML|CHLORAMPHENICOL BP 0.5%W/V|IVEE AQUA EPS LTD LR NO.18474/83 ATHI RIVER NAIROBI KENYA.|04-3366
IVYSOLONE OPTHALMIC SUSPENSION X 5ML|PREDNISOLONE ACETATE 1%|IVEE AQUA EPS LTD LR NO.18474/83 ATHI RIVER NAIROBI KENYA.|04-4067
IVYTIMOL X 5ML|TIMOLOL 0.5%|IVEE AQUA EPS LTD LR NO.18474/83 ATHI RIVER NAIROBI KENYA.|04-3367
